GUID 8c731afd5d2944b99c0337fc72647632
Type Magazine
Rarity Rare
ID 48544

Size_X 1
Size_Y 2
Size_Z 0.2

Amount 35
Count_Min 1
Count_Max 35

Calibers 1
Caliber_0 56082

Spread 1
Shake 1
Recoil_X 1.1
Recoil_Y 1.1

Speed 1.2

Tracer 48

Blueprints 4
// Surplus Packet
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 48546
Blueprint_0_Build 45117
// PPSH41 mag
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 48544
Blueprint_1_Build 45117
// PPSH41 drum
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 48545
Blueprint_2_Supply_0_Critical
Blueprint_2_Build 45117
// TT33 mag
Blueprint_3_Type Ammo
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 48548
Blueprint_3_Supply_0_Critical
Blueprint_3_Build 45117

Master_Bundle_Override na3.masterbundle
Bundle_Override_Path /Assets/Data/Nordic thingy 2/Nordic Armory 3/Bundles/Items/Magazines/Tokarev Magazines/7.62 okarev FMJ 35rnd PPSh-41 Magazine
